category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
augue                ,96   ,$37.35B         ,$1.38B          ,$11.17B         ,$135.82M        ,$5.87B          ,$5.46B          ,$440.65M        ,$5.64B          ,n/a             ,                 ,true
lorem                ,34   ,$204.36M        ,$126.32M        ,$191.36M        ,$3.08B          ,$323.94M        ,$475.88M        ,$114.75M        ,$50.34B         ,$658.69M        ,$1.8B            ,false
varius nulla         ,79   ,n/a             ,$7.44B          ,$14.44B         ,$553.69M        ,$153.73M        ,$51.52M         ,$42.18M         ,$710.19M        ,$73.29B         ,$54.13M          ,true
amet                 ,33   ,$2.25B          ,$3.65B          ,n/a             ,$16.58B         ,$116.91M        ,$35.01M         ,$3.93B          ,$50.2B          ,$580.2M         ,$162.87M         ,false
donec vitae          ,44   ,$48.4M          ,$175.65M        ,$311.18M        ,$4.17B          ,$26.92M         ,$113.08B        ,$126.39M        ,$698.59M        ,$752.08M        ,$2.45B           ,false
quam pharetra        ,49   ,$187.49M        ,$16.85B         ,$1.97B          ,$36.8M          ,$55.3M          ,$3.87B          ,$16.61M         ,$104.81M        ,$136.33M        ,$438.74M         ,true
quisque erat         ,59   ,$1.04B          ,$658.44M        ,$134.2M         ,$16.61M         ,$562.75M        ,$301.01M        ,$185.98M        ,$1.04B          ,$173.18M        ,                 ,true
lectus in            ,51   ,$241.57M        ,$802.72M        ,$13.23B         ,$8.52B          ,$101.28M        ,                ,n/a             ,$51.8B          ,$275.01M        ,$304.71M         ,false
non                  ,70   ,$175.03B        ,$1.24B          ,$2.85B          ,$369.78M        ,$2.07B          ,n/a             ,$3.63B          ,$1.59B          ,$2.81B          ,                 ,true
vestibulum           ,38   ,n/a             ,$122.85B        ,$1.43B          ,n/a             ,$94.83M         ,$5.28B          ,$1.03B          ,$739.26M        ,$566.1M         ,$14.19B          ,false
ultrices             ,45   ,$751.34M        ,$6.89B          ,$7.97B          ,$13.16B         ,$36.35M         ,$240.71M        ,$1.3B           ,$196.97M        ,$50.09B         ,$3.08M           ,false
rutrum nulla         ,70   ,$376.32M        ,$8.43B          ,n/a             ,$83.53M         ,n/a             ,$522.45M        ,$2.43B          ,$63.46M         ,$443.65M        ,$111.49M         ,false
pretium quis         ,81   ,$24.17B         ,$1.23B          ,$24.07B         ,$10.06B         ,$13.26B         ,$431.76M        ,n/a             ,$586.51M        ,n/a             ,$781.34M         ,true
nonummy integer      ,87   ,$296.86M        ,$51.2M          ,$491.02M        ,$158.81M        ,n/a             ,$871.53M        ,$174.42M        ,$125.5M         ,$2.62B          ,$374.11M         ,true
quis turpis          ,8    ,n/a             ,$1.27B          ,$101.19M        ,$2.69B          ,$912.14M        ,$1.9B           ,$46.3B          ,$154.07M        ,$78.61M         ,$12.31M          ,true
nulla justo          ,18   ,$536.92M        ,n/a             ,$6.99B          ,$17.51B         ,$6.78B          ,$2.24B          ,$12.16M         ,$2.33B          ,$872.35M        ,$2.28B           ,false
orci                 ,89   ,$395.17M        ,$304.81M        ,$3.5B           ,$76.54M         ,$562.64M        ,$120.61M        ,$2.69B          ,n/a             ,$32.29M         ,n/a              ,true
erat                 ,33   ,$104.81M        ,$14.6B          ,$3.66B          ,$1.38B          ,$517.44M        ,$48.27M         ,$78.86M         ,$335.5M         ,$1.03B          ,$620.13M         ,false
justo                ,7    ,$259.78M        ,$744.13M        ,$2.13B          ,$725.48M        ,$7.18B          ,$628.13M        ,$120.08M        ,n/a             ,n/a             ,$21.87M          ,false
lorem id             ,91   ,$3.77B          ,$231.87M        ,$2.03B          ,$125.47M        ,$71.21M         ,n/a             ,$81.48M         ,$5.53B          ,$22.51M         ,$55.3M           ,false
nunc                 ,84   ,$749.12M        ,$3.11B          ,n/a             ,$1.46B          ,$26.61M         ,$569.45M        ,n/a             ,$294.93M        ,$406.45M        ,$2.05B           ,true
aliquet              ,92   ,$2.32B          ,$1.35B          ,n/a             ,$234.15M        ,$101.56M        ,$94.27M         ,$961.71M        ,$2.49B          ,$117.69M        ,$111.64M         ,false
ut                   ,4    ,$22.71B         ,$2.92B          ,$11.67B         ,n/a             ,$1.53B          ,$3.68B          ,n/a             ,$610.36M        ,$7.15B          ,$67.4B           ,false
neque vestibulum     ,13   ,$55.73B         ,n/a             ,$403.3M         ,$300.86M        ,$84.3M          ,$387.37M        ,$93.37M         ,$235.9M         ,$286.11M        ,$1.11B           ,true
nec condimentum      ,1    ,$16.52B         ,$10.59B         ,$789.19M        ,$64.56M         ,$68.57B         ,$1.12B          ,$324.08M        ,$111.85M        ,$1.42B          ,n/a              ,true
interdum             ,95   ,n/a             ,n/a             ,$871.53M        ,$6.9B           ,n/a             ,$752.08M        ,$790.37M        ,$86.31M         ,$1.33B          ,$32.87M          ,false
sit amet             ,99   ,n/a             ,$5.48B          ,$48.81M         ,n/a             ,$2.76B          ,$923.44M        ,$3.02B          ,$62.27B         ,$4.11B          ,$21.44M          ,false
ullamcorper purus    ,93   ,$3.18B          ,$229.43M        ,n/a             ,$2.71B          ,$10.5B          ,$955.69M        ,$6.57B          ,$81.84M         ,$4.64B          ,$7.49B           ,false
sed                  ,66   ,$631.2M         ,$2.28B          ,$891.94M        ,$437.26M        ,$836.36M        ,$63.77B         ,$145.93M        ,$20.23B         ,$847.91M        ,n/a              ,false
libero               ,94   ,$4.5M           ,$3.4B           ,$175.65M        ,$4.86B          ,n/a             ,$1.05B          ,n/a             ,$602.55M        ,$222.22M        ,$335.5M          ,true
sit                  ,5    ,$2.05B          ,$27.34M         ,n/a             ,$80.33M         ,$1.33B          ,$414.38M        ,$1.31B          ,$4.11B          ,$1.84B          ,$1.91B           ,false
sed                  ,32   ,$414.14M        ,$20.27B         ,$3.46B          ,$210.14M        ,n/a             ,$19.39B         ,$85.75M         ,$424.11M        ,$116.77M        ,n/a              ,true
vel est              ,21   ,$5.33B          ,$22.73M         ,$933.63M        ,n/a             ,$702.27M        ,$567.1M         ,$116.38B        ,$2.19B          ,$112.21M        ,$5.2B            ,true
imperdiet sapien     ,8    ,$5.46B          ,$4.72B          ,n/a             ,n/a             ,$10.31M         ,$443.65M        ,$512.55M        ,$422.69M        ,$21.7B          ,$16.06B          ,false
vivamus vel          ,53   ,n/a             ,$32.74M         ,$544.39M        ,$312.96M        ,$8.23B          ,$305.91M        ,$320.21M        ,$3.24B          ,$741.31M        ,$14.95M          ,false
mattis nibh          ,76   ,$39.09M         ,$660.53M        ,$61.97M         ,n/a             ,$198.09M        ,n/a             ,n/a             ,$165.47M        ,$150.43M        ,$22.71B          ,false
platea               ,69   ,$73.95M         ,$8.21B          ,$454.72M        ,$184.33M        ,$324.86M        ,$123.86M        ,$22.37M         ,$7.17B          ,$650.09B        ,$143.19M         ,false
odio                 ,65   ,$259.78M        ,$289.48M        ,$1.35B          ,$431.69M        ,$358.78M        ,n/a             ,n/a             ,$10.93B         ,$95.29B         ,$7.52M           ,true
tincidunt nulla      ,22   ,n/a             ,$1.29B          ,$173.18M        ,$1.92B          ,n/a             ,                ,$1.45B          ,$95.4M          ,$210.14M        ,$83.53M          ,false
sapien               ,99   ,$2.9B           ,$10.85B         ,$56.32M         ,$394.9M         ,$1.77B          ,n/a             ,n/a             ,$53.4B          ,n/a             ,$2.13B           ,true
sit amet             ,40   ,n/a             ,$6.96B          ,$3.18B          ,$253.74M        ,$1.7B           ,n/a             ,n/a             ,$38.96M         ,$4.39M          ,$3.67B           ,false
nunc nisl            ,12   ,$3.26B          ,$44.32B         ,$1.82B          ,$61.25B         ,$1.24B          ,$2B             ,n/a             ,$34.34B         ,$1.64B          ,                 ,false
nulla sed            ,80   ,$84.39M         ,$1.72B          ,$101.28M        ,$333.24M        ,$9.46B          ,$780.79M        ,$50.77B         ,$3.74B          ,$1.61B          ,n/a              ,false
in                   ,51   ,n/a             ,$4.68B          ,$1.04B          ,$385.08M        ,$121.54M        ,$552.77M        ,$51.73B         ,$492.78M        ,$2.71B          ,                 ,false
erat vestibulum      ,97   ,$1.87B          ,$1.28B          ,n/a             ,n/a             ,$13.32B         ,$3.16B          ,$13.85B         ,$5.11B          ,$649.98M        ,                 ,true
nascetur             ,79   ,$11.24B         ,n/a             ,$2.85B          ,$929.63M        ,$1.12B          ,$254.48M        ,$138.36M        ,$3.02B          ,$10.31M         ,                 ,true
sit amet             ,30   ,$2.08B          ,$154.23M        ,n/a             ,$79.48M         ,$97.19M         ,$23.56M         ,n/a             ,$34.46M         ,n/a             ,n/a              ,false
in                   ,81   ,$19.07M         ,n/a             ,$32.92M         ,n/a             ,$1.89B          ,$332.06M        ,$8.13B          ,$22.42B         ,$7.97B          ,$1.89B           ,true
elementum            ,86   ,$122.37M        ,n/a             ,n/a             ,$40.32M         ,n/a             ,$1.55B          ,$1.92B          ,$83.39M         ,n/a             ,$95.54B          ,false
odio                 ,28   ,$37.85M         ,$183.15M        ,$7.87M          ,$22.85M         ,$6.25B          ,$68.41B         ,$21.44M         ,$383.58M        ,n/a             ,$356.04M         ,false
ligula suspendisse   ,92   ,$673.15M        ,$2.2B           ,$26.62B         ,$3.72B          ,$1.64B          ,$468.42M        ,$5.84B          ,$123.47M        ,$6.48B          ,$689.02M         ,false
varius               ,49   ,n/a             ,n/a             ,$32.96B         ,$2.6B           ,n/a             ,$66.96M         ,$10.97B         ,n/a             ,$666.52M        ,n/a              ,true
accumsan             ,47   ,$14.98B         ,n/a             ,$316.8M         ,$7.17B          ,n/a             ,$2.32B          ,$3.6B           ,$473.38M        ,$700.74M        ,n/a              ,false
nec                  ,97   ,$12.16M         ,$1.09B          ,$1.32B          ,n/a             ,n/a             ,n/a             ,$122.79M        ,$1.7B           ,$1.65B          ,                 ,false
in                   ,76   ,$222.97M        ,$66.09M         ,$1.53B          ,$387.13M        ,$324.21M        ,$1.14B          ,$229.93M        ,$3.07B          ,$1.12B          ,$59.41M          ,true
congue               ,88   ,$2.36B          ,n/a             ,$353.77B        ,$14.09B         ,$70.33M         ,n/a             ,n/a             ,n/a             ,$4.17B          ,$32.45M          ,true
cursus               ,77   ,$90.19M         ,$2.92B          ,$9.39M          ,$1.56B          ,$18.84B         ,$253.51M        ,n/a             ,$49.63B         ,$5.04B          ,$529.59M         ,false
curabitur            ,16   ,$800.41M        ,$534.63M        ,$48.5M          ,$1.02B          ,$27.14B         ,$1.3B           ,$2.13B          ,$124.92M        ,$84.35B         ,$2.51B           ,false
sem fusce            ,79   ,$7.84B          ,$122.4M         ,$22.86M         ,n/a             ,$4.21B          ,                ,n/a             ,n/a             ,$1.59B          ,$24.88B          ,false
morbi odio           ,18   ,$5.09B          ,$2.67B          ,$1.42B          ,n/a             ,$58.2M          ,$94.06M         ,$10.97B         ,$206.26M        ,n/a             ,$985.28M         ,false
vitae                ,5    ,$459.39M        ,$1.09B          ,$24.14B         ,$34.46M         ,$6.2B           ,n/a             ,$342.25M        ,$10.8B          ,$463.09M        ,$1.55B           ,false
vel                  ,34   ,$10.54M         ,$14.36B         ,$135.24B        ,$4.55B          ,$27.89B         ,n/a             ,$1.45B          ,$44.68B         ,$11.89M         ,n/a              ,true
venenatis non        ,94   ,n/a             ,$123.88B        ,$3.51B          ,$228.16M        ,$155.85M        ,$656.65M        ,$12.08B         ,$3.53B          ,$661.71M        ,$86.55M          ,false
urna ut              ,62   ,$2.49B          ,$188.59M        ,$14.36M         ,$291.31M        ,$40.22M         ,$6.33B          ,$192.72M        ,$1.5B           ,$22.86M         ,                 ,false
luctus               ,62   ,n/a             ,$84M            ,$14.95M         ,n/a             ,$258.6M         ,$4.03B          ,n/a             ,$741.77B        ,$52.47B         ,$207.39M         ,false
